tweet_id,annotator_1,annotator_2,annotator_3,final_annotation
1.40E+18,1,,1,1
1.37E+18,1,,0,0
1.40E+18,0,,0,0
1.42E+18,1,,1,1
1.42E+18,1,,1,1
1.40E+18,1,,-1,1
1.40E+18,1,,1,1
1.39E+18,0,,0,0
1.42E+18,1,,0,1
1.39E+18,-1,,-1,-1
1.40E+18,1,,1,1
1.44E+18,0,,0,0
1.39E+18,-1,,0,0
1.39E+18,1,,1,1
1.43E+18,-1,,-1,-1
1.40E+18,0,,0,0
1.38E+18,1,,1,1
1.41E+18,1,,0,0
1.44E+18,0,,0,0
1.41E+18,1,,1,1
1.39E+18,1,,1,1
1.38E+18,1,,1,1
1.42E+18,1,,1,1
1.44E+18,-1,,-1,-1
1.42E+18,1,,1,1
1.38E+18,0,,0,0
1.43E+18,0,,0,0
1.39E+18,0,,0,0
1.44E+18,0,,0,0
1.42E+18,1,,1,1
1.40E+18,-1,,-1,-1
1.41E+18,0,,0,0
1.41E+18,1,,1,1
1.43E+18,1,,1,1
1.38E+18,0,,0,0
1.42E+18,0,,0,0
1.43E+18,0,,0,0
1.43E+18,-1,,0,0
1.41E+18,1,,0,0
1.38E+18,-1,,-1,-1
1.37E+18,-1,,1,1
1.39E+18,0,,0,0
1.42E+18,1,,0,0
1.38E+18,-1,,-1,-1
1.42E+18,1,,0,1
1.42E+18,1,,0,0
1.44E+18,-1,,-1,-1
1.40E+18,-1,,-1,-1
1.40E+18,1,,1,1
1.39E+18,0,,0,0
1.37E+18,1,0,,0
1.38E+18,1,1,,1
1.41E+18,1,1,,1
1.42E+18,1,1,,1
1.42E+18,1,1,,1
1.41E+18,X,X,,X
1.39E+18,0,0,,0
1.43E+18,-1,-1,,-1
1.39E+18,-1,X,,X
1.38E+18,1,1,,1
1.42E+18,-1,-1,,-1
1.45E+18,-1,0,,0
1.37E+18,1,1,,1
1.38E+18,1,1,,1
1.43E+18,1,1,,1
1.37E+18,-1,0,,0
1.42E+18,-1,-1,,-1
1.41E+18,1,0,,1
1.43E+18,1,0,,0
1.40E+18,1,1,,1
1.38E+18,1,0,,1
1.43E+18,-1,-1,,-1
1.41E+18,1,0,,1
1.40E+18,-1,-1,,-1
1.44E+18,-1,0,,0
1.39E+18,0,X,,0
1.43E+18,0,0,,0
1.38E+18,1,0,,1
1.38E+18,1,1,,1
1.39E+18,1,0,,1
1.44E+18,0,0,,0
1.40E+18,1,0,,1
1.38E+18,1,1,,1
1.38E+18,0,0,,0
1.44E+18,0,0,,0
1.38E+18,-1,0,,0
1.39E+18,-1,0,,0
1.42E+18,0,0,,0
1.38E+18,1,0,,1
1.43E+18,1,1,,1
1.42E+18,0,0,,0
1.44E+18,1,0,,1
1.40E+18,1,1,,1
1.42E+18,1,1,,1
1.42E+18,-1,0,,0
1.42E+18,-1,0,,0
1.39E+18,1,1,,1
1.41E+18,0,0,,0
1.39E+18,1,0,,1
1.39E+18,,1,1,1
1.38E+18,,0,0,0
1.42E+18,,-1,-1,-1
1.42E+18,,1,1,1
1.42E+18,,0,0,0
1.38E+18,,0,0,0
1.37E+18,,-1,-1,-1
1.45E+18,,0,0,0
1.38E+18,,X,X,X
1.37E+18,,-1,-1,-1
1.41E+18,,1,1,1
1.44E+18,,0,0,0
1.40E+18,,1,1,1
1.44E+18,,1,1,1
1.38E+18,,0,0,0
1.40E+18,,0,0,0
1.41E+18,,0,0,0
1.38E+18,,0,0,0
1.38E+18,,0,0,0
1.42E+18,,1,1,1
1.42E+18,,0,0,0
1.43E+18,,X,0,0
1.38E+18,,0,0,0
1.38E+18,,1,1,1
1.42E+18,,1,1,1
1.42E+18,,1,1,1
1.38E+18,,0,0,0
1.38E+18,,0,0,0
1.42E+18,,0,0,0
1.44E+18,,0,0,0
1.39E+18,,0,0,0
1.40E+18,,1,0,0
1.42E+18,,1,0,1
1.38E+18,,0,0,0
1.39E+18,,1,1,1
1.44E+18,,1,1,1
1.39E+18,,1,1,1
1.37E+18,,0,0,0
1.44E+18,,0,0,0
1.40E+18,,1,1,1
1.44E+18,,0,0,0
1.40E+18,,0,0,0
1.42E+18,,1,1,1
1.45E+18,,0,0,0
1.39E+18,,0,0,0
1.42E+18,,1,1,1
1.44E+18,,0,0,0
1.39E+18,,-1,-1,-1
1.42E+18,,1,1,1
1.43E+18,,0,0,0
1.43E+18,,X,X,X
