training_rmse,test_rmse,feature_set
1.2435484147604263,1.2269866385722512,artist
1.1952864183375893,1.1812613825705123,reviewauthor
1.2329724185986009,1.235994353048805,releaseyear
1.2350318325699403,1.205010717916833,recordlabel
1.2420733739828465,1.2386020840752772,genre
1.2411216679701793,1.2403624811168048,danceability
1.23984587300203,1.2408996348511503,energy
1.2438043904416536,1.243496923174606,key
1.2375610656577425,1.2369677308868912,loudness
1.2435664640208375,1.2435303521321561,speechiness
1.2401107726711982,1.2403696602551413,acousticness
1.2388666922509561,1.2389894862716484,instrumentalness
1.2435584958618833,1.243534386270501,liveness
1.2409463540508223,1.24226812088964,valence
1.2422845242297182,1.2431951977873819,tempo
1.2355759159320165,1.233090955875898,danceability_energy_key_loudness_speechiness_acousticness_instrumentalness_liveness_valence_tempo
1.1808414482829148,1.1218248204579453,artist_reviewauthor_releaseyear_recordlabel_genre
1.1805754829824298,1.1189591159423387,artist_reviewauthor_releaseyear_recordlabel_genre_danceability_energy_key_loudness_speechiness_acousticness_instrumentalness_liveness_valence_tempo
